,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,airlines,11.85m,AutoFeat,AutoSK,0.3957255077101513,0.5546178603740564,"(539383, 7)"
1,airlines,11.85m,None,AutoSK,0.3957255077101513,0.5546178603740564,"(539383, 7)"
2,airlines,11.85m,AutoSK,AutoSK,0.6577470928457574,0.6593966450617742,"(539383, 7)"
3,airlines,11.85m,AutoFeat,TPOT,0.6546226111583543,0.6659671032140367,"(539383, 7)"
4,airlines,11.85m,None,TPOT,0.6627126702112146,0.6683475965175089,"(539383, 7)"
5,airlines,11.85m,TPOT,TPOT,0.6497448176086102,0.6566601901428296,"(539383, 7)"
