,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,ailerons,10.2m,AutoFeat,AutoSK,0.8811073150890658,0.8810354857475277,"(13750, 13)"
1,ailerons,10.2m,None,AutoSK,0.8747514067364338,0.87521815008726,"(13750, 40)"
2,ailerons,10.2m,AutoSK,AutoSK,0.8697663903543396,0.8699825479930192,"(13750, 40)"
3,ailerons,10.2m,AutoFeat,TPOT,0.8807144696983725,0.8807446189645143,"(13750, 13)"
4,ailerons,10.2m,None,TPOT,0.8765765494638856,0.8766724840023269,"(13750, 40)"
5,ailerons,10.2m,TPOT,TPOT,0.8847876341476966,0.8848167539267016,"(13750, 40)"
