,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,AP_Omentum_Ovary,18.7m,AutoFeat,AutoSK,0.8067542359406328,0.8115942028985508,"(275, 11)"
1,AP_Omentum_Ovary,18.7m,None,AutoSK,0.8157584103875664,0.8260869565217391,"(275, 10936)"
2,AP_Omentum_Ovary,18.7m,AutoSK,AutoSK,0.8109105824446268,0.8260869565217391,"(275, 10936)"
3,AP_Omentum_Ovary,18.7m,AutoFeat,TPOT,0.8498626503741594,0.855072463768116,"(275, 11)"
4,AP_Omentum_Ovary,18.7m,None,TPOT,0.8198351804489912,0.8260869565217391,"(275, 10936)"
5,AP_Omentum_Ovary,18.7m,TPOT,TPOT,0.8051529790660226,0.8260869565217391,"(275, 10936)"
