,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,gina,12.07m,AutoFeat,AutoSK,0.9163810266600058,0.9163498098859315,"(3153, 50)"
1,gina,12.07m,None,AutoSK,0.9252340749413291,0.9252217997465145,"(3153, 970)"
2,gina,12.07m,AutoSK,AutoSK,0.9341012151091571,0.9340937896070975,"(3153, 970)"
3,gina,12.07m,AutoFeat,TPOT,0.9379062656292393,0.9378960709759189,"(3153, 50)"
4,gina,12.07m,None,TPOT,0.9328632854909065,0.9328263624841572,"(3153, 970)"
5,gina,12.07m,TPOT,TPOT,0.9341183846412169,0.9340937896070975,"(3153, 970)"
