,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,rsctc2010_3,27.97m,AutoFeat,AutoSK,0.9578282828282828,0.9583333333333334,"(95, 35)"
1,rsctc2010_3,27.97m,None,AutoSK,0.7708125208125208,0.7916666666666666,"(95, 22277)"
2,rsctc2010_3,27.97m,AutoSK,AutoSK,0.915954415954416,0.9166666666666666,"(95, 22277)"
3,rsctc2010_3,27.97m,AutoFeat,TPOT,0.891025641025641,0.875,"(95, 35)"
4,rsctc2010_3,27.97m,None,TPOT,0.915954415954416,0.9166666666666666,"(95, 22277)"
5,rsctc2010_3,27.97m,TPOT,TPOT,0.915954415954416,0.9166666666666666,"(95, 22277)"
