,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,vehicle_sensIT,12.58m,AutoFeat,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 61)"
1,vehicle_sensIT,12.58m,None,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
2,vehicle_sensIT,12.58m,AutoSK,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
3,vehicle_sensIT,12.58m,AutoFeat,TPOT,0.8652372175618159,0.8657031503734979,"(98528, 61)"
4,vehicle_sensIT,12.58m,None,TPOT,0.8673517023857811,0.8677736278012341,"(98528, 100)"
5,vehicle_sensIT,12.58m,TPOT,TPOT,0.8554859227356393,0.8557973367976616,"(98528, 100)"
