,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,airlines,10.97m,AutoFeat,AutoSK,0.3957255077101513,0.5546178603740564,"(539383, 7)"
1,airlines,10.97m,None,AutoSK,0.3957255077101513,0.5546178603740564,"(539383, 7)"
2,airlines,10.97m,AutoSK,AutoSK,0.6577470928457574,0.6593966450617742,"(539383, 7)"
3,airlines,10.97m,AutoFeat,TPOT,0.6597688111396427,0.6668792548536849,"(539383, 7)"
4,airlines,10.97m,None,TPOT,0.6608329331504216,0.6650994467763226,"(539383, 7)"
5,airlines,10.97m,TPOT,TPOT,0.6573618568825899,0.6657001320024324,"(539383, 7)"
