,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
5,hiva_agnostic,60.33m,TPOT,TPOT,0.9604949356185394,0.9688090737240076,"(4229, 1617)"
0,eating,69.48m,AutoFeat,AutoSK,0.4060489797217871,0.4092827004219409,"(945, 21)"
1,eating,69.48m,None,AutoSK,0.5832734281398134,0.5907172995780591,"(945, 6373)"
2,eating,69.48m,AutoSK,AutoSK,0.630061440521134,0.6371308016877637,"(945, 6373)"
3,eating,69.48m,AutoFeat,TPOT,0.4171355483930288,0.43037974683544306,"(945, 21)"
4,eating,69.48m,None,TPOT,0.5623009954420943,0.5654008438818565,"(945, 6373)"
5,eating,69.48m,TPOT,TPOT,0.5485442924353495,0.5527426160337553,"(945, 6373)"
0,Christine,61.48m,AutoFeat,AutoSK,0.7542507819660297,0.7542435424354244,"(5418, 48)"
1,Christine,61.48m,None,AutoSK,0.7371307811056337,0.7372693726937269,"(5418, 1636)"
2,Christine,61.48m,AutoSK,AutoSK,0.745191892193397,0.7453874538745388,"(5418, 1636)"
3,Christine,61.48m,AutoFeat,TPOT,0.7467412820170493,0.7468634686346863,"(5418, 48)"
4,Christine,61.48m,None,TPOT,0.7394216846608584,0.7394833948339483,"(5418, 1636)"
5,Christine,61.48m,TPOT,TPOT,0.7496947364541683,0.7498154981549815,"(5418, 1636)"
0,ailerons,60.08m,AutoFeat,AutoSK,0.8801325890627549,0.8801628853984875,"(13750, 13)"
1,ailerons,60.08m,None,AutoSK,0.8747514067364338,0.87521815008726,"(13750, 40)"
2,ailerons,60.08m,AutoSK,AutoSK,0.8697663903543396,0.8699825479930192,"(13750, 40)"
3,ailerons,60.08m,AutoFeat,TPOT,0.8788386104123257,0.878999418266434,"(13750, 13)"
4,ailerons,60.08m,None,TPOT,0.8798052336782575,0.8798720186154741,"(13750, 40)"
5,ailerons,60.08m,TPOT,TPOT,0.8841240380692001,0.8842350203606748,"(13750, 40)"
