,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,micro-mass,11.22m,AutoFeat,AutoSK,0.5357307151197472,0.5524475524475524,"(571, 16)"
1,micro-mass,11.22m,None,AutoSK,0.8478514949103184,0.8531468531468531,"(571, 1300)"
2,micro-mass,11.22m,AutoSK,AutoSK,0.8416034838906085,0.8461538461538461,"(571, 1300)"
3,micro-mass,11.22m,AutoFeat,TPOT,0.417071455540521,0.46853146853146854,"(571, 16)"
4,micro-mass,11.22m,None,TPOT,0.9060939714541763,0.9090909090909091,"(571, 1300)"
5,micro-mass,11.22m,TPOT,TPOT,0.9094290382134891,0.9090909090909091,"(571, 1300)"
