,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape,PipeLine
0,sonar,60.03m,AutoFeat,AutoSK,0.35491723466407016,0.5192307692307693,"(208, 9)","[(1.000000, MyDummyClassifier(configuration=1, random_state=None)),
]"
1,sonar,60.03m,None,AutoSK,0.35491723466407016,0.5192307692307693,"(208, 60)","[(1.000000, MyDummyClassifier(configuration=1, random_state=None)),
]"
2,sonar,60.03m,AutoSK,AutoSK,0.35491723466407016,0.5192307692307693,"(208, 60)","[(1.000000, MyDummyClassifier(configuration=1, random_state=None)),
]"
