,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,sonar,10.05m,AutoFeat,AutoSK,0.825954001205961,0.8269230769230769,"(208, 10)"
1,sonar,10.05m,None,AutoSK,0.7486002239641658,0.75,"(208, 60)"
2,sonar,10.05m,AutoSK,AutoSK,0.8246414602346805,0.8269230769230769,"(208, 60)"
3,sonar,10.05m,AutoFeat,TPOT,0.8059624034136779,0.8076923076923077,"(208, 10)"
4,sonar,10.05m,None,TPOT,0.8646308898268585,0.8653846153846154,"(208, 60)"
5,sonar,10.05m,TPOT,TPOT,0.8636100246269738,0.8653846153846154,"(208, 60)"
