,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,nomao,11.0m,AutoFeat,AutoSK,0.9696977230563826,0.9697110363235465,"(34465, 36)"
1,nomao,11.0m,None,AutoSK,0.9676644334594556,0.967738191946153,"(34465, 118)"
2,nomao,11.0m,AutoSK,AutoSK,0.9666283022864599,0.966693744922827,"(34465, 118)"
3,nomao,11.0m,AutoFeat,TPOT,0.9622434394462324,0.9622838574910062,"(34465, 36)"
4,nomao,11.0m,None,TPOT,0.9671060245964479,0.9671579435998607,"(34465, 118)"
5,nomao,11.0m,TPOT,TPOT,0.9629498655677668,0.9629801555065568,"(34465, 118)"
