,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,Christine,82.18m,AutoFeat,AutoSK,0.7521241242497447,0.752029520295203,"(5418, 44)"
1,Christine,82.18m,None,AutoSK,0.7371307811056337,0.7372693726937269,"(5418, 1636)"
2,Christine,82.18m,AutoSK,AutoSK,0.745191892193397,0.7453874538745388,"(5418, 1636)"
3,Christine,82.18m,AutoFeat,TPOT,0.766789667896679,0.766789667896679,"(5418, 44)"
4,Christine,82.18m,None,TPOT,0.7444401885015355,0.744649446494465,"(5418, 1636)"
5,Christine,82.18m,TPOT,TPOT,0.7440016140427983,0.7439114391143912,"(5418, 1636)"
