,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,vehicle_sensIT,15.18m,AutoFeat,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 53)"
1,vehicle_sensIT,15.18m,None,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
2,vehicle_sensIT,15.18m,AutoSK,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
3,vehicle_sensIT,15.18m,AutoFeat,TPOT,0.8510666011194983,0.8513316011692108,"(98528, 53)"
4,vehicle_sensIT,15.18m,None,TPOT,0.8626246639915206,0.863104904189672,"(98528, 100)"
5,vehicle_sensIT,15.18m,TPOT,TPOT,0.8654376727743953,0.8659061383566092,"(98528, 100)"
