,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,OVA_Breast,28.33m,AutoFeat,AutoSK,0.9792467157585717,0.979328165374677,"(1545, 83)"
1,OVA_Breast,28.33m,None,AutoSK,0.9715207169005057,0.9715762273901809,"(1545, 10936)"
2,OVA_Breast,28.33m,AutoSK,AutoSK,0.9765090211260185,0.9767441860465116,"(1545, 10936)"
3,OVA_Breast,28.33m,AutoFeat,TPOT,0.9711667094252331,0.9715762273901809,"(1545, 83)"
4,OVA_Breast,28.33m,None,TPOT,0.9684771691261685,0.9689922480620154,"(1545, 10936)"
5,OVA_Breast,28.33m,TPOT,TPOT,0.9711667094252331,0.9715762273901809,"(1545, 10936)"
