,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,yeast_ml8,10.1m,AutoFeat,AutoSK,0.9826782904996463,0.9884297520661157,"(2417, 4)"
1,yeast_ml8,10.1m,None,AutoSK,0.9826782904996463,0.9884297520661157,"(2417, 116)"
2,yeast_ml8,10.1m,AutoSK,AutoSK,0.9826782904996463,0.9884297520661157,"(2417, 116)"
3,yeast_ml8,10.1m,AutoFeat,TPOT,0.9826782904996463,0.9884297520661157,"(2417, 4)"
4,yeast_ml8,10.1m,None,TPOT,0.9826782904996463,0.9884297520661157,"(2417, 116)"
5,yeast_ml8,10.1m,TPOT,TPOT,0.9826782904996463,0.9884297520661157,"(2417, 116)"
