,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,gina,34.63m,AutoFeat,AutoSK,0.9290320778098612,0.9290240811153359,"(3153, 54)"
1,gina,34.63m,None,AutoSK,0.9252340749413291,0.9252217997465145,"(3153, 970)"
2,gina,34.63m,AutoSK,AutoSK,0.9341135118465163,0.9340937896070975,"(3153, 970)"
3,gina,34.63m,AutoFeat,TPOT,0.9429690846017933,0.9429657794676806,"(3153, 54)"
4,gina,34.63m,None,TPOT,0.94424989463936,0.944233206590621,"(3153, 970)"
5,gina,34.63m,TPOT,TPOT,0.9442601082558879,0.944233206590621,"(3153, 970)"
