,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,nomao,10.45m,AutoFeat,AutoSK,0.9659610084853726,0.9659974469072763,"(34465, 32)"
1,nomao,10.45m,None,AutoSK,0.9676644334594556,0.967738191946153,"(34465, 118)"
2,nomao,10.45m,AutoSK,AutoSK,0.9666111564178032,0.966693744922827,"(34465, 118)"
3,nomao,10.45m,AutoFeat,TPOT,0.96348646608407,0.963560403852849,"(34465, 32)"
4,nomao,10.45m,None,TPOT,0.9690760677040452,0.9691307879772543,"(34465, 118)"
5,nomao,10.45m,TPOT,TPOT,0.9503555461865484,0.9503307415573866,"(34465, 118)"
