,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,hiva_agnostic,10.33m,AutoFeat,AutoSK,0.9422543102466577,0.9612476370510397,"(4229, 46)"
1,hiva_agnostic,10.33m,None,AutoSK,0.9522115263714662,0.9631379962192816,"(4229, 1617)"
2,hiva_agnostic,10.33m,AutoSK,AutoSK,0.9543315040099778,0.9631379962192816,"(4229, 1617)"
3,hiva_agnostic,10.33m,AutoFeat,TPOT,0.9573828823790776,0.9659735349716446,"(4229, 46)"
4,hiva_agnostic,10.33m,None,TPOT,0.9578292162054838,0.9678638941398866,"(4229, 1617)"
5,hiva_agnostic,10.33m,TPOT,TPOT,0.9539835768706609,0.9640831758034026,"(4229, 1617)"
