,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,lymphoma_2classes,11.85m,AutoFeat,AutoSK,0.9172494172494172,0.9166666666666666,"(45, 9)"
1,lymphoma_2classes,11.85m,None,AutoSK,0.5745920745920746,0.5833333333333334,"(45, 4026)"
2,lymphoma_2classes,11.85m,AutoSK,AutoSK,0.7517482517482517,0.75,"(45, 4026)"
3,lymphoma_2classes,11.85m,AutoFeat,TPOT,0.8333333333333334,0.8333333333333334,"(45, 9)"
4,lymphoma_2classes,11.85m,None,TPOT,0.6666666666666666,0.6666666666666666,"(45, 4026)"
5,lymphoma_2classes,11.85m,TPOT,TPOT,0.6666666666666666,0.6666666666666666,"(45, 4026)"
