,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,GCM,29.22m,AutoFeat,AutoSK,0.3294642857142857,0.3333333333333333,"(190, 9)"
1,GCM,29.22m,None,AutoSK,0.7156352419510315,0.7291666666666666,"(190, 16063)"
2,GCM,29.22m,AutoSK,AutoSK,0.7483134920634921,0.7708333333333334,"(190, 16063)"
3,GCM,29.22m,AutoFeat,TPOT,0.32047784391534395,0.3125,"(190, 9)"
4,GCM,29.22m,None,TPOT,0.8299603174603174,0.8333333333333334,"(190, 16063)"
5,GCM,29.22m,TPOT,TPOT,0.7487554112554112,0.7708333333333334,"(190, 16063)"
