,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,eating,18.8m,AutoFeat,AutoSK,0.4264833076374187,0.43037974683544306,"(945, 28)"
1,eating,18.8m,None,AutoSK,0.586677759392246,0.5949367088607594,"(945, 6373)"
2,eating,18.8m,AutoSK,AutoSK,0.5640401862256588,0.5738396624472574,"(945, 6373)"
3,eating,18.8m,AutoFeat,TPOT,0.4072209806352684,0.4177215189873418,"(945, 28)"
4,eating,18.8m,None,TPOT,0.3694255926967076,0.3924050632911392,"(945, 6373)"
5,eating,18.8m,TPOT,TPOT,0.5342039840817425,0.540084388185654,"(945, 6373)"
