,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,ailerons,19.35m,AutoFeat,AutoSK,0.877067829408504,0.8772542175683536,"(13750, 9)"
1,ailerons,19.35m,None,AutoSK,0.8747514067364338,0.87521815008726,"(13750, 40)"
2,ailerons,19.35m,AutoSK,AutoSK,0.8697663903543396,0.8699825479930192,"(13750, 40)"
3,ailerons,19.35m,AutoFeat,TPOT,0.882795219516941,0.8827806864456079,"(13750, 9)"
4,ailerons,19.35m,None,TPOT,0.8804286202397484,0.8804537521815009,"(13750, 40)"
5,ailerons,19.35m,TPOT,TPOT,0.8756751446192071,0.8757998836532868,"(13750, 40)"
