,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,Christine,12.3m,AutoFeat,AutoSK,0.7572286781893467,0.7571955719557195,"(5418, 40)"
1,Christine,12.3m,None,AutoSK,0.7371307811056337,0.7372693726937269,"(5418, 1636)"
2,Christine,12.3m,AutoSK,AutoSK,0.745191892193397,0.7453874538745388,"(5418, 1636)"
3,Christine,12.3m,AutoFeat,TPOT,0.7484011674137739,0.7483394833948339,"(5418, 40)"
4,Christine,12.3m,None,TPOT,0.7094692414333249,0.7107011070110701,"(5418, 1636)"
5,Christine,12.3m,TPOT,TPOT,0.7409670404506798,0.7409594095940959,"(5418, 1636)"
