,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,nomao,120.4m,AutoFeat,AutoSK,0.9669622953030668,0.9670418939306022,"(34465, 34)"
1,nomao,120.4m,None,AutoSK,0.9676644334594556,0.967738191946153,"(34465, 118)"
2,nomao,120.4m,AutoSK,AutoSK,0.9666283022864599,0.966693744922827,"(34465, 118)"
3,nomao,120.4m,AutoFeat,TPOT,0.9644439779572755,0.9644888012069166,"(34465, 34)"
4,nomao,120.4m,None,TPOT,0.9685008221400615,0.968550539630962,"(34465, 118)"
5,nomao,120.4m,TPOT,TPOT,0.9652418599104154,0.9653011488917257,"(34465, 118)"
