,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape,PipeLine
0,vehicle_sensIT,63.25m,AutoFeat,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 63)","[(1.000000, MyDummyClassifier(configuration=1, random_state=None)),
]"
1,vehicle_sensIT,63.25m,None,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)","[(1.000000, MyDummyClassifier(configuration=1, random_state=None)),
]"
2,vehicle_sensIT,63.25m,AutoSK,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)","[(1.000000, MyDummyClassifier(configuration=1, random_state=None)),
]"
