,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape,PipeLine
0,dbworld-bodies,61.03m,AutoFeat,AutoSK,0.266304347826087,0.4375,"(64, 9)","[(1.000000, MyDummyClassifier(configuration=1, random_state=None)),
]"
1,dbworld-bodies,61.03m,None,AutoSK,0.266304347826087,0.4375,"(64, 4702)","[(1.000000, MyDummyClassifier(configuration=1, random_state=None)),
]"
2,dbworld-bodies,61.03m,AutoSK,AutoSK,0.266304347826087,0.4375,"(64, 4702)","[(1.000000, MyDummyClassifier(configuration=1, random_state=None)),
]"
